更新时间: 2026-04-10 13:51:03（北京时间）

更新时间,#genre#
2026-04-10 13:51:03,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
四川卫视,http://182.135.34.97:888/rtp/239.94.0.59:5140$四川电信
四川卫视,http://106.116.240.74:9999/rtp/239.254.200.202:6325$河北省电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
重庆卫视,http://183.164.55.112:5000/rtp/238.1.78.31:6176$安徽电信
重庆卫视,http://111.193.235.246:8888/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://182.135.34.97:888/rtp/239.94.0.82:5140$四川电信
重庆卫视,http://106.116.240.74:9999/rtp/239.254.200.203:6323$河北省电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
贵州卫视,http://183.164.55.112:5000/rtp/238.1.78.244:7824$安徽电信
贵州卫视,http://111.193.235.246:8888/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://182.135.34.97:888/rtp/239.94.0.83:5140$四川电信
贵州卫视,http://106.116.240.74:9999/rtp/239.254.201.20:6315$河北省电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
云南卫视,http://183.164.55.112:5000/rtp/238.1.78.89:6584$安徽电信
云南卫视,http://111.193.235.246:8888/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://182.135.34.97:888/rtp/239.94.0.90:5140$四川电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
天津卫视,http://183.164.55.112:5000/rtp/238.1.78.20:6088$安徽电信
天津卫视,http://111.193.235.246:8888/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://182.135.34.97:888/rtp/239.94.0.68:5140$四川电信
天津卫视,http://106.116.240.74:9999/rtp/239.254.200.54:1234$河北省电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
安徽卫视,http://183.164.55.112:5000/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://183.164.55.112:5000/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://111.193.235.246:8888/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://182.135.34.97:888/rtp/239.94.0.85:5140$四川电信
安徽卫视,http://106.116.240.74:9999/rtp/239.254.200.163:6000$河北省电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
山东卫视,http://183.164.55.112:5000/rtp/238.1.78.169:7224$安徽电信
山东卫视,http://111.193.235.246:8888/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://182.135.34.97:888/rtp/239.94.0.120:5140$四川电信
山东卫视,http://182.135.34.97:888/rtp/239.94.0.69:5140$四川电信
山东卫视,http://106.116.240.74:9999/rtp/239.254.200.55:8052$河北省电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
辽宁卫视,http://183.164.55.112:5000/rtp/238.1.78.21:6096$安徽电信
辽宁卫视,http://111.193.235.246:8888/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://182.135.34.97:888/rtp/239.94.0.101:5140$四川电信
辽宁卫视,http://106.116.240.74:9999/rtp/239.254.200.57:8056$河北省电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
黑龙江卫视,http://183.164.55.112:5000/rtp/238.1.78.159:7144$安徽电信
黑龙江卫视,http://111.193.235.246:8888/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://182.135.34.97:888/rtp/239.94.0.81:5140$四川电信
黑龙江卫视,http://106.116.240.74:9999/rtp/239.254.200.49:8016$河北省电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
吉林卫视,http://183.164.55.112:5000/rtp/238.1.79.48:4496$安徽电信
吉林卫视,http://111.193.235.246:8888/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://182.135.34.97:888/rtp/239.94.0.91:5140$四川电信
吉林卫视,http://106.116.240.74:9999/rtp/239.254.201.15:6339$河北省电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
内蒙古卫视,http://183.164.55.112:5000/rtp/238.1.78.103:6696$安徽电信
内蒙古卫视,http://111.193.235.246:8888/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://183.164.55.112:5000/rtp/238.1.78.109:6744$安徽电信
宁夏卫视,http://111.193.235.246:8888/rtp/239.3.1.169:8212$北京市联通
宁夏卫视,http://182.135.34.97:888/rtp/239.94.0.96:5140$四川电信
山西卫视,http://183.164.55.112:5000/rtp/238.1.78.95:6632$安徽电信
山西卫视,http://111.193.235.246:8888/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://183.164.55.112:5000/rtp/238.1.78.88:6576$安徽电信
陕西卫视,http://111.193.235.246:8888/rtp/239.3.1.41:8140$北京市联通
